Weight,Acc@1,Acc@5,Params,GFLOPS,Recipe,Card
RegNet_Y_32GF_Weights.IMAGENET1K_V2,83.368,96.498,145.0M,32.28,https://github.com/pytorch/vision/issues/3995#new-recipe,https://pytorch.org/vision/stable/models/generated/torchvision.models.regnet_y_32gf.html#torchvision.models.RegNet_Y_32GF_Weights
RegNet_Y_32GF_Weights.IMAGENET1K_SWAG_E2E_V1,86.838,98.362,145.0M,94.83,https://github.com/facebookresearch/SWAG,https://pytorch.org/vision/stable/models/generated/torchvision.models.regnet_y_32gf.html#torchvision.models.RegNet_Y_32GF_Weights
RegNet_Y_32GF_Weights.IMAGENET1K_SWAG_LINEAR_V1,84.622,97.48,145.0M,32.28,https://github.com/pytorch/vision/pull/5793,https://pytorch.org/vision/stable/models/generated/torchvision.models.regnet_y_32gf.html#torchvision.models.RegNet_Y_32GF_Weights
RegNet_Y_3_2GF_Weights.IMAGENET1K_V1,78.948,94.576,19.4M,3.18,https://github.com/pytorch/vision/tree/main/references/classification#medium-models,https://pytorch.org/vision/stable/models/generated/torchvision.models.regnet_y_3_2gf.html#torchvision.models.RegNet_Y_3_2GF_Weights
RegNet_Y_3_2GF_Weights.IMAGENET1K_V2,81.982,95.972,19.4M,3.18,https://github.com/pytorch/vision/issues/3995#new-recipe,https://pytorch.org/vision/stable/models/generated/torchvision.models.regnet_y_3_2gf.html#torchvision.models.RegNet_Y_3_2GF_Weights
RegNet_Y_400MF_Weights.IMAGENET1K_V1,74.046,91.716,4.3M,0.4,https://github.com/pytorch/vision/tree/main/references/classification#small-models,https://pytorch.org/vision/stable/models/generated/torchvision.models.regnet_y_400mf.html#torchvision.models.RegNet_Y_400MF_Weights
RegNet_Y_400MF_Weights.IMAGENET1K_V2,75.804,92.742,4.3M,0.4,https://github.com/pytorch/vision/issues/3995#new-recipe,https://pytorch.org/vision/stable/models/generated/torchvision.models.regnet_y_400mf.html#torchvision.models.RegNet_Y_400MF_Weights
RegNet_Y_800MF_Weights.IMAGENET1K_V1,76.42,93.136,6.4M,0.83,https://github.com/pytorch/vision/tree/main/references/classification#small-models,https://pytorch.org/vision/stable/models/generated/torchvision.models.regnet_y_800mf.html#torchvision.models.RegNet_Y_800MF_Weights
RegNet_Y_800MF_Weights.IMAGENET1K_V2,78.828,94.502,6.4M,0.83,https://github.com/pytorch/vision/issues/3995#new-recipe,https://pytorch.org/vision/stable/models/generated/torchvision.models.regnet_y_800mf.html#torchvision.models.RegNet_Y_800MF_Weights
RegNet_Y_8GF_Weights.IMAGENET1K_V1,80.032,95.048,39.4M,8.47,https://github.com/pytorch/vision/tree/main/references/classification#medium-models,https://pytorch.org/vision/stable/models/generated/torchvision.models.regnet_y_8gf.html#torchvision.models.RegNet_Y_8GF_Weights
RegNet_Y_8GF_Weights.IMAGENET1K_V2,82.828,96.33,39.4M,8.47,https://github.com/pytorch/vision/issues/3995#new-recipe,https://pytorch.org/vision/stable/models/generated/torchvision.models.regnet_y_8gf.html#torchvision.models.RegNet_Y_8GF_Weights
ResNeXt101_32X8D_Weights.IMAGENET1K_V1,79.312,94.526,88.8M,16.41,https://github.com/pytorch/vision/tree/main/references/classification#resnext,https://pytorch.org/vision/stable/models/generated/torchvision.models.resnext101_32x8d.html#torchvision.models.ResNeXt101_32X8D_Weights
ResNeXt101_32X8D_Weights.IMAGENET1K_V2,82.834,96.228,88.8M,16.41,https://github.com/pytorch/vision/issues/3995#new-recipe-with-fixres,https://pytorch.org/vision/stable/models/generated/torchvision.models.resnext101_32x8d.html#torchvision.models.ResNeXt101_32X8D_Weights
ResNeXt101_64X4D_Weights.IMAGENET1K_V1,83.246,96.454,83.5M,15.46,https://github.com/pytorch/vision/pull/5935,https://pytorch.org/vision/stable/models/generated/torchvision.models.resnext101_64x4d.html#torchvision.models.ResNeXt101_64X4D_Weights
ResNeXt50_32X4D_Weights.IMAGENET1K_V1,77.618,93.698,25.0M,4.23,https://github.com/pytorch/vision/tree/main/references/classification#resnext,https://pytorch.org/vision/stable/models/generated/torchvision.models.resnext50_32x4d.html#torchvision.models.ResNeXt50_32X4D_Weights
ResNeXt50_32X4D_Weights.IMAGENET1K_V2,81.198,95.34,25.0M,4.23,https://github.com/pytorch/vision/issues/3995#new-recipe,https://pytorch.org/vision/stable/models/generated/torchvision.models.resnext50_32x4d.html#torchvision.models.ResNeXt50_32X4D_Weights
ResNet101_Weights.IMAGENET1K_V1,77.374,93.546,44.5M,7.8,https://github.com/pytorch/vision/tree/main/references/classification#resnet,https://pytorch.org/vision/stable/models/generated/torchvision.models.resnet101.html#torchvision.models.ResNet101_Weights
ResNet101_Weights.IMAGENET1K_V2,81.886,95.78,44.5M,7.8,https://github.com/pytorch/vision/issues/3995#new-recipe,https://pytorch.org/vision/stable/models/generated/torchvision.models.resnet101.html#torchvision.models.ResNet101_Weights
ResNet152_Weights.IMAGENET1K_V1,78.312,94.046,60.2M,11.51,https://github.com/pytorch/vision/tree/main/references/classification#resnet,https://pytorch.org/vision/stable/models/generated/torchvision.models.resnet152.html#torchvision.models.ResNet152_Weights
ResNet152_Weights.IMAGENET1K_V2,82.284,96.002,60.2M,11.51,https://github.com/pytorch/vision/issues/3995#new-recipe,https://pytorch.org/vision/stable/models/generated/torchvision.models.resnet152.html#torchvision.models.ResNet152_Weights
ResNet18_Weights.IMAGENET1K_V1,69.758,89.078,11.7M,1.81,https://github.com/pytorch/vision/tree/main/references/classification#resnet,https://pytorch.org/vision/stable/models/generated/torchvision.models.resnet18.html#torchvision.models.ResNet18_Weights
ResNet34_Weights.IMAGENET1K_V1,73.314,91.42,21.8M,3.66,https://github.com/pytorch/vision/tree/main/references/classification#resnet,https://pytorch.org/vision/stable/models/generated/torchvision.models.resnet34.html#torchvision.models.ResNet34_Weights
ResNet50_Weights.IMAGENET1K_V1,76.13,92.862,25.6M,4.09,https://github.com/pytorch/vision/tree/main/references/classification#resnet,https://pytorch.org/vision/stable/models/generated/torchvision.models.resnet50.html#torchvision.models.ResNet50_Weights
ResNet50_Weights.IMAGENET1K_V2,80.858,95.434,25.6M,4.09,https://github.com/pytorch/vision/issues/3995#issuecomment-1013906621,https://pytorch.org/vision/stable/models/generated/torchvision.models.resnet50.html#torchvision.models.ResNet50_Weights
ShuffleNet_V2_X0_5_Weights.IMAGENET1K_V1,60.552,81.746,1.4M,0.04,https://github.com/ericsun99/Shufflenet-v2-Pytorch,https://pytorch.org/vision/stable/models/generated/torchvision.models.shufflenet_v2_x0_5.html#torchvision.models.ShuffleNet_V2_X0_5_Weights
ShuffleNet_V2_X1_0_Weights.IMAGENET1K_V1,69.362,88.316,2.3M,0.14,https://github.com/ericsun99/Shufflenet-v2-Pytorch,https://pytorch.org/vision/stable/models/generated/torchvision.models.shufflenet_v2_x1_0.html#torchvision.models.ShuffleNet_V2_X1_0_Weights
ShuffleNet_V2_X1_5_Weights.IMAGENET1K_V1,72.996,91.086,3.5M,0.3,https://github.com/pytorch/vision/pull/5906,https://pytorch.org/vision/stable/models/generated/torchvision.models.shufflenet_v2_x1_5.html#torchvision.models.ShuffleNet_V2_X1_5_Weights
ShuffleNet_V2_X2_0_Weights.IMAGENET1K_V1,76.23,93.006,7.4M,0.58,https://github.com/pytorch/vision/pull/5906,https://pytorch.org/vision/stable/models/generated/torchvision.models.shufflenet_v2_x2_0.html#torchvision.models.ShuffleNet_V2_X2_0_Weights
SqueezeNet1_0_Weights.IMAGENET1K_V1,58.092,80.42,1.2M,0.82,https://github.com/pytorch/vision/pull/49#issuecomment-277560717,https://pytorch.org/vision/stable/models/generated/torchvision.models.squeezenet1_0.html#torchvision.models.SqueezeNet1_0_Weights
SqueezeNet1_1_Weights.IMAGENET1K_V1,58.178,80.624,1.2M,0.35,https://github.com/pytorch/vision/pull/49#issuecomment-277560717,https://pytorch.org/vision/stable/models/generated/torchvision.models.squeezenet1_1.html#torchvision.models.SqueezeNet1_1_Weights
Swin_B_Weights.IMAGENET1K_V1,83.582,96.64,87.8M,15.43,https://github.com/pytorch/vision/tree/main/references/classification#swintransformer,https://pytorch.org/vision/stable/models/generated/torchvision.models.swin_b.html#torchvision.models.Swin_B_Weights
Swin_S_Weights.IMAGENET1K_V1,83.196,96.36,49.6M,8.74,https://github.com/pytorch/vision/tree/main/references/classification#swintransformer,https://pytorch.org/vision/stable/models/generated/torchvision.models.swin_s.html#torchvision.models.Swin_S_Weights
Swin_T_Weights.IMAGENET1K_V1,81.474,95.776,28.3M,4.49,https://github.com/pytorch/vision/tree/main/references/classification#swintransformer,https://pytorch.org/vision/stable/models/generated/torchvision.models.swin_t.html#torchvision.models.Swin_T_Weights
Swin_V2_B_Weights.IMAGENET1K_V1,84.112,96.864,87.9M,20.32,https://github.com/pytorch/vision/tree/main/references/classification#swintransformer-v2,https://pytorch.org/vision/stable/models/generated/torchvision.models.swin_v2_b.html#torchvision.models.Swin_V2_B_Weights
Swin_V2_S_Weights.IMAGENET1K_V1,83.712,96.816,49.7M,11.55,https://github.com/pytorch/vision/tree/main/references/classification#swintransformer-v2,https://pytorch.org/vision/stable/models/generated/torchvision.models.swin_v2_s.html#torchvision.models.Swin_V2_S_Weights
Swin_V2_T_Weights.IMAGENET1K_V1,82.072,96.132,28.4M,5.94,https://github.com/pytorch/vision/tree/main/references/classification#swintransformer-v2,https://pytorch.org/vision/stable/models/generated/torchvision.models.swin_v2_t.html#torchvision.models.Swin_V2_T_Weights
VGG11_BN_Weights.IMAGENET1K_V1,70.37,89.81,132.9M,7.61,https://github.com/pytorch/vision/tree/main/references/classification#alexnet-and-vgg,https://pytorch.org/vision/stable/models/generated/torchvision.models.vgg11_bn.html#torchvision.models.VGG11_BN_Weights
VGG11_Weights.IMAGENET1K_V1,69.02,88.628,132.9M,7.61,https://github.com/pytorch/vision/tree/main/references/classification#alexnet-and-vgg,https://pytorch.org/vision/stable/models/generated/torchvision.models.vgg11.html#torchvision.models.VGG11_Weights
VGG13_BN_Weights.IMAGENET1K_V1,71.586,90.374,133.1M,11.31,https://github.com/pytorch/vision/tree/main/references/classification#alexnet-and-vgg,https://pytorch.org/vision/stable/models/generated/torchvision.models.vgg13_bn.html#torchvision.models.VGG13_BN_Weights
VGG13_Weights.IMAGENET1K_V1,69.928,89.246,133.0M,11.31,https://github.com/pytorch/vision/tree/main/references/classification#alexnet-and-vgg,https://pytorch.org/vision/stable/models/generated/torchvision.models.vgg13.html#torchvision.models.VGG13_Weights
VGG16_BN_Weights.IMAGENET1K_V1,73.36,91.516,138.4M,15.47,https://github.com/pytorch/vision/tree/main/references/classification#alexnet-and-vgg,https://pytorch.org/vision/stable/models/generated/torchvision.models.vgg16_bn.html#torchvision.models.VGG16_BN_Weights
VGG16_Weights.IMAGENET1K_V1,71.592,90.382,138.4M,15.47,https://github.com/pytorch/vision/tree/main/references/classification#alexnet-and-vgg,https://pytorch.org/vision/stable/models/generated/torchvision.models.vgg16.html#torchvision.models.VGG16_Weights
VGG16_Weights.IMAGENET1K_FEATURES,nan,nan,138.4M,15.47,https://github.com/amdegroot/ssd.pytorch#training-ssd,https://pytorch.org/vision/stable/models/generated/torchvision.models.vgg16.html#torchvision.models.VGG16_Weights
VGG19_BN_Weights.IMAGENET1K_V1,74.218,91.842,143.7M,19.63,https://github.com/pytorch/vision/tree/main/references/classification#alexnet-and-vgg,https://pytorch.org/vision/stable/models/generated/torchvision.models.vgg19_bn.html#torchvision.models.VGG19_BN_Weights
VGG19_Weights.IMAGENET1K_V1,72.376,90.876,143.7M,19.63,https://github.com/pytorch/vision/tree/main/references/classification#alexnet-and-vgg,https://pytorch.org/vision/stable/models/generated/torchvision.models.vgg19.html#torchvision.models.VGG19_Weights
ViT_B_16_Weights.IMAGENET1K_V1,81.072,95.318,86.6M,17.56,https://github.com/pytorch/vision/tree/main/references/classification#vit_b_16,https://pytorch.org/vision/stable/models/generated/torchvision.models.vit_b_16.html#torchvision.models.ViT_B_16_Weights
ViT_B_16_Weights.IMAGENET1K_SWAG_E2E_V1,85.304,97.65,86.9M,55.48,https://github.com/facebookresearch/SWAG,https://pytorch.org/vision/stable/models/generated/torchvision.models.vit_b_16.html#torchvision.models.ViT_B_16_Weights
ViT_B_16_Weights.IMAGENET1K_SWAG_LINEAR_V1,81.886,96.18,86.6M,17.56,https://github.com/pytorch/vision/pull/5793,https://pytorch.org/vision/stable/models/generated/torchvision.models.vit_b_16.html#torchvision.models.ViT_B_16_Weights
ViT_B_32_Weights.IMAGENET1K_V1,75.912,92.466,88.2M,4.41,https://github.com/pytorch/vision/tree/main/references/classification#vit_b_32,https://pytorch.org/vision/stable/models/generated/torchvision.models.vit_b_32.html#torchvision.models.ViT_B_32_Weights
ViT_H_14_Weights.IMAGENET1K_SWAG_E2E_V1,88.552,98.694,633.5M,1016.72,https://github.com/facebookresearch/SWAG,https://pytorch.org/vision/stable/models/generated/torchvision.models.vit_h_14.html#torchvision.models.ViT_H_14_Weights
ViT_H_14_Weights.IMAGENET1K_SWAG_LINEAR_V1,85.708,97.73,632.0M,167.29,https://github.com/pytorch/vision/pull/5793,https://pytorch.org/vision/stable/models/generated/torchvision.models.vit_h_14.html#torchvision.models.ViT_H_14_Weights
ViT_L_16_Weights.IMAGENET1K_V1,79.662,94.638,304.3M,61.55,https://github.com/pytorch/vision/tree/main/references/classification#vit_l_16,https://pytorch.org/vision/stable/models/generated/torchvision.models.vit_l_16.html#torchvision.models.ViT_L_16_Weights
ViT_L_16_Weights.IMAGENET1K_SWAG_E2E_V1,88.064,98.512,305.2M,361.99,https://github.com/facebookresearch/SWAG,https://pytorch.org/vision/stable/models/generated/torchvision.models.vit_l_16.html#torchvision.models.ViT_L_16_Weights
ViT_L_16_Weights.IMAGENET1K_SWAG_LINEAR_V1,85.146,97.422,304.3M,61.55,https://github.com/pytorch/vision/pull/5793,https://pytorch.org/vision/stable/models/generated/torchvision.models.vit_l_16.html#torchvision.models.ViT_L_16_Weights
ViT_L_32_Weights.IMAGENET1K_V1,76.972,93.07,306.5M,15.38,https://github.com/pytorch/vision/tree/main/references/classification#vit_l_32,https://pytorch.org/vision/stable/models/generated/torchvision.models.vit_l_32.html#torchvision.models.ViT_L_32_Weights
Wide_ResNet101_2_Weights.IMAGENET1K_V1,78.848,94.284,126.9M,22.75,https://github.com/pytorch/vision/pull/912#issue-445437439,https://pytorch.org/vision/stable/models/generated/torchvision.models.wide_resnet101_2.html#torchvision.models.Wide_ResNet101_2_Weights
Wide_ResNet101_2_Weights.IMAGENET1K_V2,82.51,96.02,126.9M,22.75,https://github.com/pytorch/vision/issues/3995#new-recipe,https://pytorch.org/vision/stable/models/generated/torchvision.models.wide_resnet101_2.html#torchvision.models.Wide_ResNet101_2_Weights
Wide_ResNet50_2_Weights.IMAGENET1K_V1,78.468,94.086,68.9M,11.4,https://github.com/pytorch/vision/pull/912#issue-445437439,https://pytorch.org/vision/stable/models/generated/torchvision.models.wide_resnet50_2.html#torchvision.models.Wide_ResNet50_2_Weights
Wide_ResNet50_2_Weights.IMAGENET1K_V2,81.602,95.758,68.9M,11.4,https://github.com/pytorch/vision/issues/3995#new-recipe-with-fixres,https://pytorch.org/vision/stable/models/generated/torchvision.models.wide_resnet50_2.html#torchvision.models.Wide_ResNet50_2_Weights
